domain,hn_stories,hn_points,source
simonwillison.net,142,60362,kagi-smallweb hn-popularity
jeffgeerling.com,83,26195,kagi-smallweb hn-popularity hn-personal-blogs
krebsonsecurity.com,83,25615,hn-popularity
righto.com,67,13331,kagi-smallweb hn-popularity
shkspr.mobi,49,13440,kagi-smallweb hn-popularity hn-personal-blogs
lcamtuf.substack.com,49,11886,hn-popularity
seangoedecke.com,44,16088,kagi-smallweb hn-popularity
rachelbythebay.com,44,12996,kagi-smallweb hn-popularity
jvns.ca,42,14342,kagi-smallweb hn-popularity
fabiensanglard.net,42,12692,kagi-smallweb hn-popularity
pluralistic.net,41,11765,kagi-smallweb hn-popularity
matklad.github.io,36,8839,kagi-smallweb hn-popularity
construction-physics.com,36,8547,hn-popularity
daringfireball.net,35,13842,kagi-smallweb hn-popularity
xeiaso.net,32,11517,kagi-smallweb hn-popularity hn-personal-blogs
lucumr.pocoo.org,31,9172,kagi-smallweb hn-popularity
dynomight.net,31,8511,kagi-smallweb hn-popularity
stratechery.com,31,8415,hn-popularity
daniel.haxx.se,31,7802,kagi-smallweb hn-popularity
paulgraham.com,29,10809,hn-popularity
danluu.com,29,10048,kagi-smallweb hn-popularity
thebignewsletter.com,28,8965,hn-popularity
computer.rip,28,7257,kagi-smallweb hn-popularity
gwern.net,28,6551,hn-popularity
susam.net,27,6811,kagi-smallweb hn-popularity hn-personal-blogs
writings.stephenwolfram.com,25,8117,kagi-smallweb hn-popularity
lemire.me,25,4202,kagi-smallweb hn-popularity
bitsaboutmoney.com,24,6918,kagi-smallweb hn-popularity
wheresyoured.at,24,6500,hn-popularity
tedium.co,24,5694,kagi-smallweb hn-popularity
martinfowler.com,24,5284,kagi-smallweb hn-popularity
abortretry.fail,24,4717,hn-popularity
words.filippo.io,23,6449,kagi-smallweb
oldvcr.blogspot.com,23,4166,kagi-smallweb hn-popularity
johndcook.com,23,3926,kagi-smallweb hn-popularity
antirez.com,22,10906,kagi-smallweb hn-popularity
ntietz.com,22,5401,kagi-smallweb hn-popularity hn-personal-blogs
filfre.net,22,5169,kagi-smallweb hn-popularity
terrytao.wordpress.com,22,4766,kagi-smallweb hn-popularity
resobscura.substack.com,22,4068,hn-popularity
practical.engineering,21,6589,kagi-smallweb hn-popularity
garymarcus.substack.com,21,5707,hn-popularity
taylor.town,21,4985,kagi-smallweb hn-popularity hn-personal-blogs
acoup.blog,21,4433,kagi-smallweb hn-popularity
nullprogram.com,21,4023,kagi-smallweb hn-popularity
