domain,name,country,source
anthropic.com,Anthropic,United States,wikidata
openai.com,OpenAI,United States,wikidata
bytedance.com,ByteDance,China,wikidata
databricks.com,Databricks,United States,wikidata
stripe.com,Stripe,United States,wikidata
binance.com,Binance,Canada,wikidata
revolut.com,Revolut,United Kingdom,wikidata
anduril.com,Anduril Industries,United States,wikidata
cognition.com,Cognition AI,United States,manual
canva.com,Canva,Australia,wikidata
figure.ai,Figure AI,United States,wikidata
ramp.com,Ramp,United States,wikidata
ssi.inc,Safe Superintelligence,United States,wikidata
vastdata.com,VAST Data,United States,wikidata
telegram.org,Telegram,United Arab Emirates,wikidata
scale.com,Scale AI,United States,wikidata
fanaticsinc.com,Fanatics,United States,wikidata
epicgames.com,Epic Games,United States,wikidata
kalshi.com,Kalshi,United States,wikidata
perplexity.ai,Perplexity AI,United States,wikidata
chobani.com,Chobani,United States,wikidata
groq.com,Groq,United States,wikidata
miro.com,Miro,United States,wikidata
rippling.com,Rippling,United States,manual
harvey.ai,Harvey,United States,wikidata
helionenergy.com,Helion Energy,United States,wikidata
yuanfudao.com,Yuanfudao,China,manual
discord.com,Discord,United States,wikidata
dji.com,DJI,China,wikidata
gopuff.com,GoPuff,United States,wikidata
nscale.com,Nscale,United Kingdom,wikidata
mistral.ai,Mistral AI,France,wikidata
xiaohongshu.com,Xiaohongshu,China,wikidata
helsing.ai,Helsing,Germany,wikidata
skild.ai,Skild AI,United States,manual
plaid.com,Plaid,United States,wikidata
lovable.dev,Lovable,Sweden,wikidata
opensea.io,OpenSea,United States,wikidata
superhuman.com,Superhuman,Ukraine,manual
shield.ai,Shield AI,United States,wikidata
devoted.com,Devoted Health,United States,manual
faire.com,Faire,United States,manual
labscompanies.ai,Labs Companies,United States,wikidata
ninjaone.com,NinjaOne,United States,manual
cyera.com,Cyera,United States,manual
thinkingmachines.ai,Thinking Machines Lab,United States,wikidata
openevidence.com,OpenEvidence,United States,wikidata
biosplice.com,Biosplice Therapeutics,United States,manual
bitmain.com,Bitmain,China,wikidata
goodleap.com,GoodLeap,United States,manual
checkout.com,Checkout.com,United Kingdom,wikidata
whatnot.com,Whatnot,United States,wikidata
celonis.com,Celonis,Germany,wikidata
elevenlabs.io,ElevenLabs,Poland,wikidata
bilt.com,Bilt Rewards,United States,wikidata
etched.com,Etched,United States,manual
colossal.com,Colossal Biosciences,United States,wikidata
alchemy.com,Alchemy,United States,manual
whoop.com,WHOOP,United States,wikidata
guazi.com,Chehaoduo,China,manual
dcg.co,Digital Currency Group,United States,wikidata
mercor.com,Mercor,United States,wikipedia
gusto.com,Gusto,United States,wikidata
kucoin.com,KuCoin,Seychelles,wikidata
lalamove.com,Lalamove,Hong Kong,wikidata
notion.com,Notion Labs,United States,wikidata
polygon.technology,Polygon Technology,India,wikidata
ripple.com,Ripple,United States,wikidata
talkdesk.com,Talkdesk,Portugal,manual
oyorooms.com,Oyo,India,wikidata
outsystems.com,OutSystems,Portugal,wikidata
vercel.com,Vercel,United States,wikidata
xihaytea.com,HeyTea,China,wikidata
neuralink.com,Neuralink,United States,wikidata
replit.com,Replit,United States,wikidata
tanium.com,Tanium,United States,wikidata
kavak.com,Kavak,Mexico,wikidata
rapyd.net,Rapyd,United Kingdom,wikidata
nuro.ai,Nuro,United States,wikidata
snyk.io,Snyk,United Kingdom,wikidata
bolt.eu,Bolt,Estonia,wikidata
together.ai,Together AI,United States,manual
dream11.com,Dream11,India,wikidata
flexport.com,Flexport,United States,wikidata
airwallex.com,Airwallex,Australia,wikidata
starkware.co,StarkWare Industries,Israel,wikidata
dapperlabs.com,Dapper Labs,Canada,manual
zipline.com,Zipline,United States,manual
alpha-sense.com,AlphaSense,United States,manual
razorpay.com,Razorpay,India,manual
carta.com,Carta,United States,manual
olacabs.com,Ola Consumer,India,wikidata
gong.io,Gong,Israel,manual
psiquantum.com,PsiQuantum,United States,wikidata
automationanywhere.com,Automation Anywhere,United States,wikidata
1password.com,1Password,Canada,wikidata
wedoctor.com,WeDoctor,China,manual
cohere.com,Cohere,Canada,wikidata
yanolja.com,Yanolja,South Korea,manual
ziroom.com,Ziroom,China,manual
mollie.com,Mollie,Netherlands,manual
cred.club,CRED,India,wikidata
datarobot.com,DataRobot,United States,manual
personio.de,Personio,Germany,wikidata
doctolib.fr,Doctolib,France,manual
icapital.com,iCapital,United States,manual
xsyxsc.com,Xingsheng Youxuan,China,manual
sandboxaq.com,SandboxAQ,United States,manual
backmarket.com,Back Market,France,manual
boringcompany.com,The Boring Company,United States,wikidata
relexsolutions.com,Relex,Finland,manual
contentsquare.com,Contentsquare,France,manual
fivetran.com,Fivetran,United States,manual
postman.com,Postman,India,wikidata
phonepe.com,PhonePe,India,wikidata
toss.im,Viva Republica,South Korea,wikidata
higgsfield.ai,Higgsfield,United States,manual
traderepublic.com,Trade Republic,Germany,wikidata
rappi.com.mx,Rappi,Colombia,wikidata
ouraring.com,Oura Health,Finland,wikidata
blockchain.com,Blockchain.com,United Kingdom,wikidata
onetrust.com,OneTrust,United Kingdom,wikidata
sambanova.ai,SambaNova,United States,manual
collibra.com,Collibra,Belgium,manual
cloudkitchens.com,CloudKitchens,United States,wikidata
hopper.com,Hopper,Canada,wikidata
ofbusiness.com,OfBusiness,India,manual
qonto.com,Qonto,France,wikidata
ro.co,Ro,United States,wikidata
wonderful.ai,Wonderful,Israel,manual
zepz.io,Zepz,United Kingdom,manual
animocabrands.com,Animoca Brands,Hong Kong,wikidata
octopusenergy.group,Octopus Energy,United Kingdom,wikidata
pleo.io,Pleo,Denmark,manual
checkr.com,Checkr,United States,manual
dataiku.com,Dataiku,France,wikidata
getblock.io,GetBlock,Georgia,manual
sorare.com,Sorare,France,wikidata
magicleap.com,Magic Leap,United States,wikidata
socure.com,Socure,United States,manual
vinted.com,Vinted,Lithuania,wikidata
quince.com,Quince,United States,wikipedia
outreach.ai,Outreach,United States,manual
arcticwolf.com,Arctic Wolf Networks,United States,wikidata
chainalysis.com,Chainalysis,United States,wikidata
relativityspace.com,Relativity Space,United States,wikidata
bitpanda.com,Bitpanda,Austria,wikidata
dataminr.com,Dataminr,United States,wikidata
abnormal.ai,Abnormal Security,United States,manual
branch.io,Branch Metrics,United States,wikidata
browserstack.com,BrowserStack,India,wikidata
clubhouse.com,Clubhouse,United States,wikidata
houzz.com,Houzz,United States,wikidata
megvii.com,Megvii,China,wikidata
patreon.com,Patreon,United States,wikidata
pointclickcare.com,PointClickCare,Canada,manual
quintoandar.com.br,QuintoAndar,Brazil,manual
stockx.com,StockX,United States,wikidata
articulate.com,Articulate,United States,manual
cohesity.com,Cohesity,United States,wikidata
noom.com,Noom,United States,wikidata
papayaglobal.com,PAPAYA Global,Israel,wikidata
sharechat.com,ShareChat,India,wikipedia
01zhuanche.com,Shouqi,China,wikipedia
coalitioninc.com,Coalition,United States,manual
commure.com,Commure,United States,manual
mirakl.com,Mirakl,France,wikidata
n26.com,N26,Germany,wikidata
preferred.jp,Preferred Networks,Japan,wikidata
cars24.com,CARS24,India,wikidata
kurly.com,Kurly,South Korea,manual
moonpay.com,MoonPay,United States,manual
upstox.com,Upstox,India,manual
plus.ai,Plus.ai,United States,wikipedia
starburst.io,Starburst Data,United States,manual
thumbtack.com,Thumbtack,United States,wikidata
applyboard.com,ApplyBoard,Canada,wikidata
blockstream.com,Blockstream,Canada,wikidata
consensys.io,ConsenSys,United States,manual
flutterwave.com,Flutterwave,Nigeria,wikipedia
verkada.com,Verkada,United States,wikidata
eruditus.com,Eruditus,India,manual
spoton.com,SpotOn,United States,manual
tiendanube.com,TiendaNube,Argentina,manual
udaan.com,Udaan,India,manual
wildlifestudios.com,Wildlife,Brazil,manual
cmrsurgical.com,CMR Surgical,United Kingdom,wikidata
traveloka.com,Traveloka,Indonesia,wikidata
activecampaign.com,ActiveCampaign,United States,wikidata
ageoflearning.com,Age of Learning Inc.,United States,manual
automattic.com,Automattic,United States,wikidata
calendly.com,Calendly,United States,wikidata
contentful.com,Contentful,Germany,wikidata
forter.com,Forter,Israel,wikidata
grafana.com,Grafana Labs,United States,wikidata
lucid.co,Lucid Software,United States,manual
bird.com,MessageBird,Netherlands,manual
seismic.com,Seismic,United States,manual
skymavis.com,Sky Mavis,Vietnam,manual
dasouche.com,Souche,China,manual
tradingview.com,TradingView,United Kingdom,wikidata
aiven.io,Aiven,Finland,manual
vancl.com,VANCL,China,manual
veepee.fr,Veepee,France,wikidata
vipkid.com,VIPKID,China,wikidata
wefox.com,Wefox,Germany,manual
rigup.com,Workrise,United States,manual
drivewealth.com,DriveWealth,United States,manual
bharatpe.com,BharatPe,India,wikidata
icertis.com,Icertis,India,wikidata
oaknorth.co.uk,OakNorth,United Kingdom,wikidata
astranis.com,Astranis,United States,wikidata
abridge.com,Abridge,United States,manual
illumio.com,Illumio,United States,wikidata
masterclass.com,MasterClass,United States,wikidata
dreamgames.com,Dream Games,Turkey,manual
daangn.com,Daangn Market,South Korea,manual
tridge.com,Tridge,South Korea,manual
nextiva.com,Nextiva,United States,wikipedia
tradeshift.com,Tradeshift,United States,wikidata
odoo.com,Odoo,Belgium,wikidata
amwins.com,AmWINS Group,United States,manual
manomano.fr,ManoMano,France,manual
pendo.io,Pendo,United States,manual
sourcegraph.com,Sourcegraph,United States,wikidata
jumpcloud.com,Jumpcloud,United States,manual
catonetworks.com,Cato Networks,Israel,wikidata
easya.io,EasyA,United Kingdom,manual
infra.market,Infra.Market,India,manual
drivenets.com,DriveNets,Israel,wikipedia
mews.com,Mews (company),Czech Republic,wikipedia
monzo.com,Monzo,United Kingdom,wikidata
suno.com,Suno,United States,wikidata
uala.com.ar,Ualá,Argentina,wikidata
honeybook.com,HoneyBook,Israel,wikidata
bitsight.com,BitSight,United States,wikidata
exabeam.com,Exabeam,United States,wikipedia
paxos.com,Paxos,United States,wikidata
mozido.com,Mozido,United States,wikidata
headway.co,Headway,United States,manual
mpl.live,MPL,India,manual
uzum.com,Uzum,Uzbekistan,wikidata
uptake.com,Uptake,United States,wikidata
algolia.com,Algolia,France,wikidata
gomotive.com,KeepTruckin,United States,manual
acorns.com,Acorns,United States,wikidata
bitso.com,Bitso,Mexico,manual
wellhub.com,Gympass,Brazil,manual
transmitsecurity.com,Transmit Security,Israel,wikipedia
addepar.com,Addepar,United States,wikidata
eightfold.ai,Eightfold.ai,United States,manual
gamma.app,Gamma,United States,manual
payfit.com,PayFit,France,manual
6sense.com,6sense,United States,manual
c6bank.com.br,C6 Bank,Brazil,manual
mambu.com,Mambu,Germany,wikidata
webflow.com,Webflow,United States,wikipedia
bkash.com,bKash,Bangladesh,wikidata
manypets.com,Bought By Many,United Kingdom,manual
flixbus.com,FlixMobility,Germany,wikidata
tipalti.com,Tipalti,United States,wikidata
thehive.ai,Hive,United States,wikidata
mural.co,Mural,Argentina,manual
appsflyer.com,AppsFlyer,Israel,wikidata
blablacar.com,BlaBlaCar,France,wikidata
calm.com,Calm,United States,wikidata
clickhouse.com,ClickHouse,United States,wikidata
clip.mx,Clip,Mexico,manual
cockroachlabs.com,Cockroach Labs,United States,wikidata
druva.com,Druva,India,wikidata
exotec.com,Exotec,France,wikidata
formlabs.com,Formlabs,United States,wikidata
huimin.cn,Huimin.cn,China,manual
iterable.com,Iterable,United States,manual
kry.se,Kry,Sweden,manual
meicai.cn,Meicai.cn,China,manual
mynt.xyz,Mynt,Philippines,manual
opayweb.com,OPay,Nigeria,manual
pixverse.ai,PixVerse,Singapore,manual
simile.com,Simile,United States,manual
sword.com,Sword Health,Portugal,wikipedia
trendy-global.com,Trendy International Group,China,manual
unqork.com,Unqork,United States,wikipedia
zerodha.com,Zerodha,India,wikidata
instabase.com,Instabase,United States,wikidata
zilch.com,Zilch,United Kingdom,wikipedia
akulaku.com,Akulaku,Indonesia,manual
ankorstore.com,Ankorstore,France,manual
avant.com,Avant,United States,manual
thoughtspot.com,ThoughtSpot,United States,wikidata
sanpowergroup.com,Sanpower Group,China,manual
zigbang.com,ZigBang,South Korea,manual
bunq.com,Bunq,Netherlands,wikidata
coinswitch.co,CoinSwitch Kuber,India,manual
dfinity.org,Dfinity,Switzerland,manual
prosper.com,Prosper Marketplace,United States,wikidata
musinsa.com,Musinsa,South Korea,wikipedia
