domain,subcategory,source,added
cassandra.apache.org,database,manual,2026-09-23
clickhouse.com,database,manual,2026-09-23
cockroachlabs.com,database,manual,2026-09-23
convex.dev,database,manual,2026-09-23
couchbase.com,database,manual,2026-09-23
drizzle.team,database,manual,2026-09-23
duckdb.org,database,manual,2026-09-23
elastic.co,database,manual,2026-09-23
firebase.google.com,database,manual,2026-09-23
influxdata.com,database,manual,2026-09-23
mariadb.org,database,manual,2026-09-23
mongodb.com,database,manual,2026-09-23
mysql.com,database,manual,2026-09-23
neo4j.com,database,manual,2026-09-23
neon.com,database,manual,2026-09-23
pinecone.io,database,manual,2026-09-23
planetscale.com,database,manual,2026-09-23
postgresql.org,database,manual,2026-09-23
prisma.io,database,manual,2026-09-23
qdrant.tech,database,manual,2026-09-23
redis.io,database,manual,2026-09-23
sqlite.org,database,manual,2026-09-23
supabase.com,database,manual,2026-09-23
surrealdb.com,database,manual,2026-09-23
tigerdata.com,database,manual,2026-09-23
turso.tech,database,manual,2026-09-23
upstash.com,database,manual,2026-09-23
weaviate.io,database,manual,2026-09-23
xata.io,database,manual,2026-09-23
actix.rs,framework,manual,2026-09-23
alpinejs.dev,framework,manual,2026-09-23
angular.dev,framework,manual,2026-09-23
astro.build,framework,manual,2026-09-23
axum.rs,framework,manual,2026-09-23
chakra-ui.com,framework,manual,2026-09-23
d3js.org,framework,manual,2026-09-23
djangoproject.com,framework,manual,2026-09-23
effect.website,framework,manual,2026-09-23
electronjs.org,framework,manual,2026-09-23
emberjs.com,framework,manual,2026-09-23
expo.dev,framework,manual,2026-09-23
expressjs.com,framework,manual,2026-09-23
fastapi.tiangolo.com,framework,manual,2026-09-23
fastify.dev,framework,manual,2026-09-23
flask.palletsprojects.com,framework,manual,2026-09-23
flutter.dev,framework,manual,2026-09-23
gatsbyjs.com,framework,manual,2026-09-23
getbootstrap.com,framework,manual,2026-09-23
hono.dev,framework,manual,2026-09-23
htmx.org,framework,manual,2026-09-23
ionicframework.com,framework,manual,2026-09-23
jquery.com,framework,manual,2026-09-23
keras.io,framework,manual,2026-09-23
langchain.com,framework,manual,2026-09-23
laravel.com,framework,manual,2026-09-23
leptos.dev,framework,manual,2026-09-23
lit.dev,framework,manual,2026-09-23
lodash.com,framework,manual,2026-09-23
mui.com,framework,manual,2026-09-23
