domain,subcategory,source,added
3m.com,fortune500,manual,2026-09-23
aa.com,fortune500,manual,2026-09-23
abbott.com,fortune500,manual,2026-09-23
abbvie.com,fortune500,manual,2026-09-23
adm.com,fortune500,manual,2026-09-23
airbnb.com,fortune500,manual,2026-09-23
albertsons.com,fortune500,manual,2026-09-23
allstate.com,fortune500,manual,2026-09-23
alphabet.com,fortune500,manual,2026-09-23
amd.com,fortune500,manual,2026-09-23
americanexpress.com,fortune500,manual,2026-09-23
amgen.com,fortune500,manual,2026-09-23
apple.com,fortune500,manual,2026-09-23
att.com,fortune500,manual,2026-09-23
bankofamerica.com,fortune500,manual,2026-09-23
berkshirehathaway.com,fortune500,manual,2026-09-23
blackrock.com,fortune500,manual,2026-09-23
bms.com,fortune500,manual,2026-09-23
boeing.com,fortune500,manual,2026-09-23
booking.com,fortune500,manual,2026-09-23
bookingholdings.com,fortune500,manual,2026-09-23
broadcom.com,fortune500,manual,2026-09-23
bunge.com,fortune500,manual,2026-09-23
capitalone.com,fortune500,manual,2026-09-23
cardinalhealth.com,fortune500,manual,2026-09-23
cargill.com,fortune500,manual,2026-09-23
caterpillar.com,fortune500,manual,2026-09-23
cencora.com,fortune500,manual,2026-09-23
centene.com,fortune500,manual,2026-09-23
charter.com,fortune500,manual,2026-09-23
chevron.com,fortune500,manual,2026-09-23
cigna.com,fortune500,manual,2026-09-23
cisco.com,fortune500,manual,2026-09-23
citi.com,fortune500,manual,2026-09-23
citigroup.com,fortune500,manual,2026-09-23
coca-colacompany.com,fortune500,manual,2026-09-23
colgatepalmolive.com,fortune500,manual,2026-09-23
comcast.com,fortune500,manual,2026-09-23
conocophillips.com,fortune500,manual,2026-09-23
cvshealth.com,fortune500,manual,2026-09-23
danaher.com,fortune500,manual,2026-09-23
deere.com,fortune500,manual,2026-09-23
dell.com,fortune500,manual,2026-09-23
delta.com,fortune500,manual,2026-09-23
disney.com,fortune500,manual,2026-09-23
dollargeneral.com,fortune500,manual,2026-09-23
dollartree.com,fortune500,manual,2026-09-23
dow.com,fortune500,manual,2026-09-23
dupont.com,fortune500,manual,2026-09-23
elevancehealth.com,fortune500,manual,2026-09-23
esteelauder.com,fortune500,manual,2026-09-23
exxonmobil.com,fortune500,manual,2026-09-23
fanniemae.com,fortune500,manual,2026-09-23
