domain,subcategory,source,added
simonwillison.net,hn-142,indie,2026-09-23
jeffgeerling.com,hn-83,indie,2026-09-23
krebsonsecurity.com,hn-83,indie,2026-09-23
righto.com,hn-67,indie,2026-09-23
shkspr.mobi,hn-49,indie,2026-09-23
lcamtuf.substack.com,hn-49,indie,2026-09-23
seangoedecke.com,hn-44,indie,2026-09-23
rachelbythebay.com,hn-44,indie,2026-09-23
jvns.ca,hn-42,indie,2026-09-23
fabiensanglard.net,hn-42,indie,2026-09-23
pluralistic.net,hn-41,indie,2026-09-23
matklad.github.io,hn-36,indie,2026-09-23
construction-physics.com,hn-36,indie,2026-09-23
daringfireball.net,hn-35,indie,2026-09-23
xeiaso.net,hn-32,indie,2026-09-23
lucumr.pocoo.org,hn-31,indie,2026-09-23
dynomight.net,hn-31,indie,2026-09-23
stratechery.com,hn-31,indie,2026-09-23
daniel.haxx.se,hn-31,indie,2026-09-23
paulgraham.com,hn-29,indie,2026-09-23
danluu.com,hn-29,indie,2026-09-23
thebignewsletter.com,hn-28,indie,2026-09-23
computer.rip,hn-28,indie,2026-09-23
gwern.net,hn-28,indie,2026-09-23
susam.net,hn-27,indie,2026-09-23
writings.stephenwolfram.com,hn-25,indie,2026-09-23
lemire.me,hn-25,indie,2026-09-23
bitsaboutmoney.com,hn-24,indie,2026-09-23
wheresyoured.at,hn-24,indie,2026-09-23
tedium.co,hn-24,indie,2026-09-23
martinfowler.com,hn-24,indie,2026-09-23
abortretry.fail,hn-24,indie,2026-09-23
words.filippo.io,hn-23,indie,2026-09-23
oldvcr.blogspot.com,hn-23,indie,2026-09-23
johndcook.com,hn-23,indie,2026-09-23
antirez.com,hn-22,indie,2026-09-23
ntietz.com,hn-22,indie,2026-09-23
filfre.net,hn-22,indie,2026-09-23
terrytao.wordpress.com,hn-22,indie,2026-09-23
resobscura.substack.com,hn-22,indie,2026-09-23
practical.engineering,hn-21,indie,2026-09-23
garymarcus.substack.com,hn-21,indie,2026-09-23
taylor.town,hn-21,indie,2026-09-23
acoup.blog,hn-21,indie,2026-09-23
nullprogram.com,hn-21,indie,2026-09-23
mitchellh.com,hn-20,indie,2026-09-23
blog.jim-nielsen.com,hn-20,indie,2026-09-23
marginalia.nu,hn-20,indie,2026-09-23
blog.jgc.org,hn-20,indie,2026-09-23
lapcatsoftware.com,hn-20,indie,2026-09-23
experimental-history.com,hn-20,indie,2026-09-23
bernsteinbear.com,hn-20,indie,2026-09-23
matduggan.com,hn-19,indie,2026-09-23
schneier.com,hn-19,indie,2026-09-23
borretti.me,hn-19,indie,2026-09-23
eli.thegreenplace.net,hn-19,indie,2026-09-23
