domain,subcategory,source,added
gulfnews.com,ae,manual,2026-09-23
thenationalnews.com,ae,manual,2026-09-23
clarin.com,ar,manual,2026-09-23
lanacion.com.ar,ar,manual,2026-09-23
derstandard.at,at,manual,2026-09-23
abc.net.au,au,manual,2026-09-23
afr.com,au,manual,2026-09-23
crikey.com.au,au,manual,2026-09-23
dailytelegraph.com.au,au,manual,2026-09-23
heraldsun.com.au,au,manual,2026-09-23
news.com.au,au,manual,2026-09-23
smh.com.au,au,manual,2026-09-23
theage.com.au,au,manual,2026-09-23
theaustralian.com.au,au,manual,2026-09-23
lesoir.be,be,manual,2026-09-23
estadao.com.br,br,manual,2026-09-23
folha.uol.com.br,br,manual,2026-09-23
oglobo.globo.com,br,manual,2026-09-23
cbc.ca,ca,manual,2026-09-23
ctvnews.ca,ca,manual,2026-09-23
globalnews.ca,ca,manual,2026-09-23
lapresse.ca,ca,manual,2026-09-23
ledevoir.com,ca,manual,2026-09-23
montrealgazette.com,ca,manual,2026-09-23
nationalpost.com,ca,manual,2026-09-23
theglobeandmail.com,ca,manual,2026-09-23
thestar.com,ca,manual,2026-09-23
vancouversun.com,ca,manual,2026-09-23
nzz.ch,ch,manual,2026-09-23
swissinfo.ch,ch,manual,2026-09-23
chinadaily.com.cn,cn,manual,2026-09-23
globaltimes.cn,cn,manual,2026-09-23
bild.de,de,manual,2026-09-23
dw.com,de,manual,2026-09-23
faz.net,de,manual,2026-09-23
handelsblatt.com,de,manual,2026-09-23
spiegel.de,de,manual,2026-09-23
stern.de,de,manual,2026-09-23
sueddeutsche.de,de,manual,2026-09-23
tagesschau.de,de,manual,2026-09-23
taz.de,de,manual,2026-09-23
welt.de,de,manual,2026-09-23
zeit.de,de,manual,2026-09-23
politiken.dk,dk,manual,2026-09-23
abc.es,es,manual,2026-09-23
elconfidencial.com,es,manual,2026-09-23
elmundo.es,es,manual,2026-09-23
elpais.com,es,manual,2026-09-23
lavanguardia.com,es,manual,2026-09-23
hs.fi,fi,manual,2026-09-23
yle.fi,fi,manual,2026-09-23
france24.com,fr,manual,2026-09-23
lefigaro.fr,fr,manual,2026-09-23
lemonde.fr,fr,manual,2026-09-23
leparisien.fr,fr,manual,2026-09-23
lesechos.fr,fr,manual,2026-09-23
liberation.fr,fr,manual,2026-09-23
mediapart.fr,fr,manual,2026-09-23
ouest-france.fr,fr,manual,2026-09-23
bbc.co.uk,gb,manual,2026-09-23
bbc.com,gb,manual,2026-09-23
dailymail.co.uk,gb,manual,2026-09-23
economist.com,gb,manual,2026-09-23
express.co.uk,gb,manual,2026-09-23
ft.com,gb,manual,2026-09-23
heraldscotland.com,gb,manual,2026-09-23
independent.co.uk,gb,manual,2026-09-23
inews.co.uk,gb,manual,2026-09-23
manchestereveningnews.co.uk,gb,manual,2026-09-23
metro.co.uk,gb,manual,2026-09-23
mirror.co.uk,gb,manual,2026-09-23
news.sky.com,gb,manual,2026-09-23
newstatesman.com,gb,manual,2026-09-23
private-eye.co.uk,gb,manual,2026-09-23
scotsman.com,gb,manual,2026-09-23
sky.com,gb,manual,2026-09-23
spectator.co.uk,gb,manual,2026-09-23
standard.co.uk,gb,manual,2026-09-23
telegraph.co.uk,gb,manual,2026-09-23
thebureauinvestigates.com,gb,manual,2026-09-23
theguardian.com,gb,manual,2026-09-23
thesun.co.uk,gb,manual,2026-09-23
thetimes.com,gb,manual,2026-09-23
walesonline.co.uk,gb,manual,2026-09-23
scmp.com,hk,manual,2026-09-23
independent.ie,ie,manual,2026-09-23
irishtimes.com,ie,manual,2026-09-23
rte.ie,ie,manual,2026-09-23
thejournal.ie,ie,manual,2026-09-23
haaretz.com,il,manual,2026-09-23
jpost.com,il,manual,2026-09-23
timesofisrael.com,il,manual,2026-09-23
hindustantimes.com,in,manual,2026-09-23
indianexpress.com,in,manual,2026-09-23
livemint.com,in,manual,2026-09-23
ndtv.com,in,manual,2026-09-23
scroll.in,in,manual,2026-09-23
thehindu.com,in,manual,2026-09-23
theprint.in,in,manual,2026-09-23
thewire.in,in,manual,2026-09-23
timesofindia.indiatimes.com,in,manual,2026-09-23
euronews.com,intl,manual,2026-09-23
politico.eu,intl,manual,2026-09-23
reuters.com,intl,manual,2026-09-23
rferl.org,intl,manual,2026-09-23
ansa.it,it,manual,2026-09-23
corriere.it,it,manual,2026-09-23
ilsole24ore.com,it,manual,2026-09-23
lastampa.it,it,manual,2026-09-23
repubblica.it,it,manual,2026-09-23
asahi.com,jp,manual,2026-09-23
japantimes.co.jp,jp,manual,2026-09-23
mainichi.jp,jp,manual,2026-09-23
nikkei.com,jp,manual,2026-09-23
www.nhk.or.jp,jp,manual,2026-09-23
yomiuri.co.jp,jp,manual,2026-09-23
nation.africa,ke,manual,2026-09-23
chosun.com,kr,manual,2026-09-23
joongang.co.kr,kr,manual,2026-09-23
koreaherald.com,kr,manual,2026-09-23
koreatimes.co.kr,kr,manual,2026-09-23
eluniversal.com.mx,mx,manual,2026-09-23
milenio.com,mx,manual,2026-09-23
premiumtimesng.com,ng,manual,2026-09-23
punchng.com,ng,manual,2026-09-23
nos.nl,nl,manual,2026-09-23
nrc.nl,nl,manual,2026-09-23
telegraaf.nl,nl,manual,2026-09-23
volkskrant.nl,nl,manual,2026-09-23
aftenposten.no,no,manual,2026-09-23
nrk.no,no,manual,2026-09-23
vg.no,no,manual,2026-09-23
nzherald.co.nz,nz,manual,2026-09-23
rnz.co.nz,nz,manual,2026-09-23
stuff.co.nz,nz,manual,2026-09-23
wyborcza.pl,pl,manual,2026-09-23
aljazeera.com,qa,manual,2026-09-23
aftonbladet.se,se,manual,2026-09-23
dn.se,se,manual,2026-09-23
svd.se,se,manual,2026-09-23
channelnewsasia.com,sg,manual,2026-09-23
straitstimes.com,sg,manual,2026-09-23
404media.co,us,manual,2026-09-23
abcnews.go.com,us,manual,2026-09-23
ajc.com,us,manual,2026-09-23
apnews.com,us,manual,2026-09-23
app.com,us,manual,2026-09-23
arstechnica.com,us,manual,2026-09-23
axios.com,us,manual,2026-09-23
azcentral.com,us,manual,2026-09-23
baltimoresun.com,us,manual,2026-09-23
barrons.com,us,manual,2026-09-23
bloomberg.com,us,manual,2026-09-23
bostonglobe.com,us,manual,2026-09-23
buffalonews.com,us,manual,2026-09-23
businessinsider.com,us,manual,2026-09-23
buzzfeednews.com,us,manual,2026-09-23
calmatters.org,us,manual,2026-09-23
cbsnews.com,us,manual,2026-09-23
chalkbeat.org,us,manual,2026-09-23
charlotteobserver.com,us,manual,2026-09-23
chicagotribune.com,us,manual,2026-09-23
cincinnati.com,us,manual,2026-09-23
cleveland.com,us,manual,2026-09-23
cnbc.com,us,manual,2026-09-23
cnn.com,us,manual,2026-09-23
courier-journal.com,us,manual,2026-09-23
dallasnews.com,us,manual,2026-09-23
defector.com,us,manual,2026-09-23
denverpost.com,us,manual,2026-09-23
detroitnews.com,us,manual,2026-09-23
dispatch.com,us,manual,2026-09-23
engadget.com,us,manual,2026-09-23
expressnews.com,us,manual,2026-09-23
fastcompany.com,us,manual,2026-09-23
forbes.com,us,manual,2026-09-23
fortune.com,us,manual,2026-09-23
foxnews.com,us,manual,2026-09-23
freep.com,us,manual,2026-09-23
hartfordcourant.com,us,manual,2026-09-23
houstonchronicle.com,us,manual,2026-09-23
huffpost.com,us,manual,2026-09-23
indystar.com,us,manual,2026-09-23
inquirer.com,us,manual,2026-09-23
insideclimatenews.org,us,manual,2026-09-23
jsonline.com,us,manual,2026-09-23
kansascity.com,us,manual,2026-09-23
latimes.com,us,manual,2026-09-23
marketwatch.com,us,manual,2026-09-23
masslive.com,us,manual,2026-09-23
mercurynews.com,us,manual,2026-09-23
miamiherald.com,us,manual,2026-09-23
