domain,subcategory,source,added
1mg.com,top-1k,crux,2026-09-23
24h.com.vn,top-1k,crux,2026-09-23
33apk.com,top-1k,crux,2026-09-23
3bmeteo.com,top-1k,crux,2026-09-23
5movierulz.kitchen,top-1k,crux,2026-09-23
9ffyu1g9c.com,top-1k,crux,2026-09-23
aajtak.in,top-1k,crux,2026-09-23
absher.sa,top-1k,crux,2026-09-23
accuweather.com,top-1k,crux,2026-09-23
acesso.gov.br,top-1k,crux,2026-09-23
action.com,top-1k,crux,2026-09-23
actu.fr,top-1k,crux,2026-09-23
ad-contents.jp,top-1k,crux,2026-09-23
ad.nl,top-1k,crux,2026-09-23
afip.gob.ar,top-1k,crux,2026-09-23
afribaba.com,top-1k,crux,2026-09-23
agoda.com,top-1k,crux,2026-09-23
albumaty.com,top-1k,crux,2026-09-23
alibaba.com,top-1k,crux,2026-09-23
alphapolis.co.jp,top-1k,crux,2026-09-23
alura.com.br,top-1k,crux,2026-09-23
ameba.jp,top-1k,crux,2026-09-23
ameblo.jp,top-1k,crux,2026-09-23
an1.com,top-1k,crux,2026-09-23
animanch.com,top-1k,crux,2026-09-23
aparat.com,top-1k,crux,2026-09-23
arca.live,top-1k,crux,2026-09-23
archive.org,top-1k,crux,2026-09-23
archiveofourown.org,top-1k,crux,2026-09-23
arionplay.com,top-1k,crux,2026-09-23
as.com,top-1k,crux,2026-09-23
asurascans.com,top-1k,crux,2026-09-23
aternos.org,top-1k,crux,2026-09-23
auone.jp,top-1k,crux,2026-09-23
autoplius.lt,top-1k,crux,2026-09-23
autotrader.co.uk,top-1k,crux,2026-09-23
av19t.com,top-1k,crux,2026-09-23
avito.ru,top-1k,crux,2026-09-23
ay267.com,top-1k,crux,2026-09-23
az24.vn,top-1k,crux,2026-09-23
bakusai.com,top-1k,crux,2026-09-23
bancodevenezuela.com,top-1k,crux,2026-09-23
bblaa.com,top-1k,crux,2026-09-23
bet365.bet.br,top-1k,crux,2026-09-23
betano.pe,top-1k,crux,2026-09-23
betika.com,top-1k,crux,2026-09-23
betking.com,top-1k,crux,2026-09-23
betpawa.ug,top-1k,crux,2026-09-23
betway.co.za,top-1k,crux,2026-09-23
bfmtv.com,top-1k,crux,2026-09-23
biblegateway.com,top-1k,crux,2026-09-23
bihar.gov.in,top-1k,crux,2026-09-23
bikewale.com,top-1k,crux,2026-09-23
bilibili.com,top-1k,crux,2026-09-23
bing.com,top-1k,crux,2026-09-23
bingoplus.com,top-1k,crux,2026-09-23
bit.ly,top-1k,crux,2026-09-23
blacktoon418.com,top-1k,crux,2026-09-23
blic.rs,top-1k,crux,2026-09-23
bollyflix.free,top-1k,crux,2026-09-23
bookmyshow.com,top-1k,crux,2026-09-23
bpcl.in,top-1k,crux,2026-09-23
bpexch.live,top-1k,crux,2026-09-23
brave.com,top-1k,crux,2026-09-23
bt.dk,top-1k,crux,2026-09-23
caixa.gov.br,top-1k,crux,2026-09-23
calculator.net,top-1k,crux,2026-09-23
caliente.mx,top-1k,crux,2026-09-23
capcut.com,top-1k,crux,2026-09-23
cardgames.io,top-1k,crux,2026-09-23
cardmarket.com,top-1k,crux,2026-09-23
carsensor.net,top-1k,crux,2026-09-23
casinoplus.com.ph,top-1k,crux,2026-09-23
cbl.gov.ly,top-1k,crux,2026-09-23
cdiscount.com,top-1k,crux,2026-09-23
census.gov.in,top-1k,crux,2026-09-23
chatgpt.com,top-1k,crux,2026-09-23
chess.com,top-1k,crux,2026-09-23
choiceadvantage.com,top-1k,crux,2026-09-23
chordtela.com,top-1k,crux,2026-09-23
classlink.com,top-1k,crux,2026-09-23
claude.ai,top-1k,crux,2026-09-23
clickpetroleoegas.com.br,top-1k,crux,2026-09-23
cloud.microsoft,top-1k,crux,2026-09-23
cmoa.jp,top-1k,crux,2026-09-23
com.be,top-1k,crux,2026-09-23
comix.to,top-1k,crux,2026-09-23
cookpad.com,top-1k,crux,2026-09-23
coupang.com,top-1k,crux,2026-09-23
craigslist.org,top-1k,crux,2026-09-23
crazygames.com,top-1k,crux,2026-09-23
cricbuzz.com,top-1k,crux,2026-09-23
cricinfo.com,top-1k,crux,2026-09-23
crn77.com,top-1k,crux,2026-09-23
cronista.com,top-1k,crux,2026-09-23
croxyproxy.com,top-1k,crux,2026-09-23
csc.gov.in,top-1k,crux,2026-09-23
cukrarnauandela.cz,top-1k,crux,2026-09-23
curseforge.com,top-1k,crux,2026-09-23
czbooks.net,top-1k,crux,2026-09-23
dafont.com,top-1k,crux,2026-09-23
dagbladet.no,top-1k,crux,2026-09-23
dailymail.com,top-1k,crux,2026-09-23
