domain,subcategory,source,added
anthropic.com,ai,manual,2026-09-23
character.ai,ai,manual,2026-09-23
cohere.com,ai,manual,2026-09-23
elevenlabs.io,ai,manual,2026-09-23
glean.com,ai,manual,2026-09-23
harvey.ai,ai,manual,2026-09-23
huggingface.co,ai,manual,2026-09-23
jasper.ai,ai,manual,2026-09-23
midjourney.com,ai,manual,2026-09-23
mistral.ai,ai,manual,2026-09-23
openai.com,ai,manual,2026-09-23
perplexity.ai,ai,manual,2026-09-23
runway.com,ai,manual,2026-09-23
scale.com,ai,manual,2026-09-23
writer.com,ai,manual,2026-09-23
amplitude.com,analytics,manual,2026-09-23
databricks.com,analytics,manual,2026-09-23
fivetran.com,analytics,manual,2026-09-23
getdbt.com,analytics,manual,2026-09-23
heap.io,analytics,manual,2026-09-23
hex.tech,analytics,manual,2026-09-23
metabase.com,analytics,manual,2026-09-23
mixpanel.com,analytics,manual,2026-09-23
mode.com,analytics,manual,2026-09-23
posthog.com,analytics,manual,2026-09-23
snowflake.com,analytics,manual,2026-09-23
tableau.com,analytics,manual,2026-09-23
apollo.io,crm,manual,2026-09-23
attio.com,crm,manual,2026-09-23
close.com,crm,manual,2026-09-23
freshworks.com,crm,manual,2026-09-23
front.com,crm,manual,2026-09-23
gong.io,crm,manual,2026-09-23
gorgias.com,crm,manual,2026-09-23
helpscout.com,crm,manual,2026-09-23
hubspot.com,crm,manual,2026-09-23
intercom.com,crm,manual,2026-09-23
outreach.ai,crm,manual,2026-09-23
pipedrive.com,crm,manual,2026-09-23
salesforce.com,crm,manual,2026-09-23
salesloft.com,crm,manual,2026-09-23
zendesk.com,crm,manual,2026-09-23
zoominfo.com,crm,manual,2026-09-23
adobe.com,design,manual,2026-09-23
canva.com,design,manual,2026-09-23
descript.com,design,manual,2026-09-23
figma.com,design,manual,2026-09-23
framer.com,design,manual,2026-09-23
gamma.app,design,manual,2026-09-23
lottiefiles.com,design,manual,2026-09-23
pitch.com,design,manual,2026-09-23
sketch.com,design,manual,2026-09-23
spline.design,design,manual,2026-09-23
webflow.com,design,manual,2026-09-23
atlassian.com,devops,manual,2026-09-23
betterstack.com,devops,manual,2026-09-23
circleci.com,devops,manual,2026-09-23
datadoghq.com,devops,manual,2026-09-23
dynatrace.com,devops,manual,2026-09-23
fullstory.com,devops,manual,2026-09-23
gitlab.com,devops,manual,2026-09-23
grafana.com,devops,manual,2026-09-23
harness.io,devops,manual,2026-09-23
hashicorp.com,devops,manual,2026-09-23
honeycomb.io,devops,manual,2026-09-23
incident.io,devops,manual,2026-09-23
jfrog.com,devops,manual,2026-09-23
launchdarkly.com,devops,manual,2026-09-23
logrocket.com,devops,manual,2026-09-23
newrelic.com,devops,manual,2026-09-23
pagerduty.com,devops,manual,2026-09-23
postman.com,devops,manual,2026-09-23
rootly.com,devops,manual,2026-09-23
sentry.io,devops,manual,2026-09-23
snyk.io,devops,manual,2026-09-23
splunk.com,devops,manual,2026-09-23
bigcommerce.com,ecommerce-platform,manual,2026-09-23
gumroad.com,ecommerce-platform,manual,2026-09-23
lemonsqueezy.com,ecommerce-platform,manual,2026-09-23
shopify.com,ecommerce-platform,manual,2026-09-23
squarespace.com,ecommerce-platform,manual,2026-09-23
wix.com,ecommerce-platform,manual,2026-09-23
adp.com,finance,manual,2026-09-23
bill.com,finance,manual,2026-09-23
brex.com,finance,manual,2026-09-23
carta.com,finance,manual,2026-09-23
chargebee.com,finance,manual,2026-09-23
deel.com,finance,manual,2026-09-23
expensify.com,finance,manual,2026-09-23
gusto.com,finance,manual,2026-09-23
mercury.com,finance,manual,2026-09-23
moderntreasury.com,finance,manual,2026-09-23
navan.com,finance,manual,2026-09-23
paddle.com,finance,manual,2026-09-23
paylocity.com,finance,manual,2026-09-23
pilot.com,finance,manual,2026-09-23
plaid.com,finance,manual,2026-09-23
quickbooks.intuit.com,finance,manual,2026-09-23
ramp.com,finance,manual,2026-09-23
recurly.com,finance,manual,2026-09-23
rippling.com,finance,manual,2026-09-23
stripe.com,finance,manual,2026-09-23
xero.com,finance,manual,2026-09-23
ashbyhq.com,hr,manual,2026-09-23
bamboohr.com,hr,manual,2026-09-23
cultureamp.com,hr,manual,2026-09-23
gem.com,hr,manual,2026-09-23
greenhouse.com,hr,manual,2026-09-23
lattice.com,hr,manual,2026-09-23
lever.co,hr,manual,2026-09-23
oysterhq.com,hr,manual,2026-09-23
remote.com,hr,manual,2026-09-23
workday.com,hr,manual,2026-09-23
ahrefs.com,marketing,manual,2026-09-23
beehiiv.com,marketing,manual,2026-09-23
braze.com,marketing,manual,2026-09-23
buffer.com,marketing,manual,2026-09-23
customer.io,marketing,manual,2026-09-23
hootsuite.com,marketing,manual,2026-09-23
iterable.com,marketing,manual,2026-09-23
kit.com,marketing,manual,2026-09-23
klaviyo.com,marketing,manual,2026-09-23
later.com,marketing,manual,2026-09-23
mailchimp.com,marketing,manual,2026-09-23
optimizely.com,marketing,manual,2026-09-23
semrush.com,marketing,manual,2026-09-23
sproutsocial.com,marketing,manual,2026-09-23
unbounce.com,marketing,manual,2026-09-23
airtable.com,productivity,manual,2026-09-23
asana.com,productivity,manual,2026-09-23
