domain,subcategory,source,added
adelaide.edu.au,au,hipo,2026-09-23
anu.edu.au,au,hipo,2026-09-23
monash.edu,au,hipo,2026-09-23
mq.edu.au,au,hipo,2026-09-23
rmit.edu.au,au,hipo,2026-09-23
sydney.edu.au,au,hipo,2026-09-23
unimelb.edu.au,au,hipo,2026-09-23
unsw.edu.au,au,hipo,2026-09-23
uq.edu.au,au,hipo,2026-09-23
uts.edu.au,au,hipo,2026-09-23
uwa.edu.au,au,hipo,2026-09-23
kuleuven.be,be,hipo,2026-09-23
usp.br,br,hipo,2026-09-23
dal.ca,ca,hipo,2026-09-23
mcgill.ca,ca,hipo,2026-09-23
mcmaster.ca,ca,hipo,2026-09-23
queensu.ca,ca,hipo,2026-09-23
sfu.ca,ca,hipo,2026-09-23
ualberta.ca,ca,hipo,2026-09-23
ubc.ca,ca,hipo,2026-09-23
ucalgary.ca,ca,hipo,2026-09-23
umontreal.ca,ca,hipo,2026-09-23
uottawa.ca,ca,hipo,2026-09-23
utoronto.ca,ca,hipo,2026-09-23
uwaterloo.ca,ca,hipo,2026-09-23
uwo.ca,ca,manual,2026-09-23
yorku.ca,ca,hipo,2026-09-23
epfl.ch,ch,hipo,2026-09-23
ethz.ch,ch,hipo,2026-09-23
uzh.ch,ch,hipo,2026-09-23
fudan.edu.cn,cn,hipo,2026-09-23
www.pku.edu.cn,cn,hipo,2026-09-23
www.sjtu.edu.cn,cn,hipo,2026-09-23
www.tsinghua.edu.cn,cn,hipo,2026-09-23
www.zju.edu.cn,cn,hipo,2026-09-23
fu-berlin.de,de,hipo,2026-09-23
hu-berlin.de,de,hipo,2026-09-23
kit.edu,de,hipo,2026-09-23
lmu.de,de,hipo,2026-09-23
rwth-aachen.de,de,hipo,2026-09-23
tum.de,de,hipo,2026-09-23
uni-heidelberg.de,de,hipo,2026-09-23
www.tu-berlin.de,de,hipo,2026-09-23
dtu.dk,dk,hipo,2026-09-23
ku.dk,dk,hipo,2026-09-23
ub.edu,es,manual,2026-09-23
aalto.fi,fi,hipo,2026-09-23
helsinki.fi,fi,hipo,2026-09-23
ens.psl.eu,fr,manual,2026-09-23
polytechnique.edu,fr,hipo,2026-09-23
psl.eu,fr,manual,2026-09-23
sciencespo.fr,fr,hipo,2026-09-23
sorbonne-universite.fr,fr,hipo,2026-09-23
bath.ac.uk,gb,hipo,2026-09-23
birmingham.ac.uk,gb,hipo,2026-09-23
bristol.ac.uk,gb,hipo,2026-09-23
cam.ac.uk,gb,hipo,2026-09-23
cardiff.ac.uk,gb,hipo,2026-09-23
dur.ac.uk,gb,hipo,2026-09-23
exeter.ac.uk,gb,manual,2026-09-23
gla.ac.uk,gb,hipo,2026-09-23
imperial.ac.uk,gb,hipo,2026-09-23
kcl.ac.uk,gb,hipo,2026-09-23
lancaster.ac.uk,gb,manual,2026-09-23
leeds.ac.uk,gb,hipo,2026-09-23
liverpool.ac.uk,gb,manual,2026-09-23
lse.ac.uk,gb,hipo,2026-09-23
manchester.ac.uk,gb,hipo,2026-09-23
ncl.ac.uk,gb,hipo,2026-09-23
nottingham.ac.uk,gb,hipo,2026-09-23
ox.ac.uk,gb,hipo,2026-09-23
qmul.ac.uk,gb,hipo,2026-09-23
sheffield.ac.uk,gb,hipo,2026-09-23
southampton.ac.uk,gb,manual,2026-09-23
st-andrews.ac.uk,gb,hipo,2026-09-23
sussex.ac.uk,gb,hipo,2026-09-23
ucl.ac.uk,gb,hipo,2026-09-23
warwick.ac.uk,gb,hipo,2026-09-23
www.ed.ac.uk,gb,hipo,2026-09-23
york.ac.uk,gb,hipo,2026-09-23
cuhk.edu.hk,hk,hipo,2026-09-23
hku.hk,hk,hipo,2026-09-23
hkust.edu.hk,hk,manual,2026-09-23
tcd.ie,ie,hipo,2026-09-23
ucd.ie,ie,hipo,2026-09-23
tau.ac.il,il,hipo,2026-09-23
technion.ac.il,il,hipo,2026-09-23
weizmann.ac.il,il,hipo,2026-09-23
www.huji.ac.il,il,hipo,2026-09-23
iisc.ac.in,in,hipo,2026-09-23
iitb.ac.in,in,hipo,2026-09-23
iitd.ac.in,in,hipo,2026-09-23
polimi.it,it,hipo,2026-09-23
unibo.it,it,hipo,2026-09-23
kyoto-u.ac.jp,jp,hipo,2026-09-23
www.osaka-u.ac.jp,jp,hipo,2026-09-23
www.u-tokyo.ac.jp,jp,hipo,2026-09-23
